,freqs,usess,value
323,"1518,00 – 1525,00","5.341
ECA36",1
324,"1525,00 – 1530,00",FIX,1
325,"1525,00 – 1530,00",MOBIL PRIN SATELIT (spaţiu– Pământ)  5.208B  5.351A,1
326,"1525,00 – 1530,00","EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)",1
327,"1525,00 – 1530,00",5.341  5.351  5.354,1
328,"1530,00 – 1535,00","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)
Explorarea Pământului prin satelit
Fix
Mobil cu excepţia mobil
aeronautic
5.341  5.351  5.354",1
329,"1535,00 – 1550,00","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
5.341  5.351  5.354  5.356  5.357
5.357A",1
330,"1550,00 – 1559,00","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
FIX  5.359",1
331,"1550,00 – 1559,00","5.341  5.351  5.354  5.356  5.357
5.357A",1
332,"1559,00 – 1610,00",RADIONAVIGAŢIE AERONAUTICĂ,1
333,"1559,00 – 1610,00","RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.208B  5.328B 5.329A",1
334,"1559,00 – 1610,00",5.341,1
335,"1610,00 – 1610,60",RADIONAVIGAŢIE AERONAUTICĂ,1
336,"1610,00 – 1610,60","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A FIX  5.359",1
337,"1610,00 – 1610,60","5.341  5.364  5.366  5.367  5.368
5.371  5.372",1
338,"1610,60 – 1613,80","RADIONAVIGAŢIE AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A",1
339,"1610,60 – 1613,80",RADIOASTRONOMIE,1
340,"1610,60 – 1613,80",FIX  5.359,1
341,"1610,60 – 1613,80","5.149  5.341  5.364  5.366  5.367
5.368  5.371  5.372",1
342,"1613,80 – 1626,50","RADIONAVIGAŢIE AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A
Mobil prin satelit (spaţiu–Pământ)
5.208B
FIX  5.359",1
343,"1613,80 – 1626,50","5.341 5.364  5.365  5.366  5.367
5.368  5.371  5.372",1
344,"1626,50 – 1660,00","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.353A FIX  5.359
5.341  5.351  5.354  5.357A
5.374  5.375  5.376",1
345,"1660,00 – 1660,50","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A RADIOASTRONOMIE",1
346,"1660,00 – 1660,50","5.149  5.341  5.351  5.354
5.376A",1
347,"1660,50 – 1668,00",RADIOASTRONOMIE,1
348,"1660,50 – 1668,00",CERCETARE SPAŢIALĂ (pasiv),1
349,"1660,50 – 1668,00",Fix,1
350,"1660,50 – 1668,00","Mobil cu excepţia mobil
aeronautic",1
351,"1660,50 – 1668,00",5.149  5.341  5.379A,1
352,"1668,00 – 1668,40",MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,1
353,"1668,00 – 1668,40",RADIOASTRONOMIE,1
354,"1668,00 – 1668,40",CERCETARE SPAŢIALĂ (pasiv),1
355,"1668,00 – 1668,40",Fix,1
356,"1668,00 – 1668,40","Mobil cu excepţia mobil
aeronautic",1
357,"1668,00 – 1668,40",5.149  5.341  5.379A,1
358,"1668,40 – 1670,00",FIX,1
359,"1668,40 – 1670,00",AUXILIAR METEOROLOGIC,1
360,"1668,40 – 1670,00","MOBIL cu excepţia mobil
aeronautic",1
