"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,"ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,,
,,,Sisteme militare terestre,,,,,,,,
,,,Sisteme militare maritime,,,,,,,,
,,,Aplicații radiodeterminare,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"2045,00 – 2160,00","FIX
MOBIL TERESTRU","FIX
MOBIL TERESTRU",Radiocomunicaţii maritime (Plan de asignări de frecvenţe - Geneva 1985),,,"EN 303 402
ERC REC 70–03
EN 300 330
Decizia 2008/432/CE (Nota 2)
ERC REC 70–03
EN 302 608
Decizia 2013/752/UE (Nota 6)",,,,G(A)/NG,
,MOBIL MARITIM,MOBIL MARITIM,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)",,,,,,,,
,5.92,5.92,,,,,,,,,
,,ECA 36,,,,,,,,,
,,,"Aplicaţii căi ferate (în banda 984- 7484 kHz, frecvenţă centrală 4234 kHz / sistemul Eurobalise)",,,,,,,,
