"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,"EXPLOATARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,"CERCETARE SPAŢIALĂ
spațiu-Pământ)",,,,,,,,,,
,Fix,,,,,,,,,,
,Mobil cu excepția mobil aeronautic (R),,,,,,,,,,
,"5.204  5.205  5.206  5.207
5.208",,,,,,,,,,
"137,8250 – 138,0000","METEOROLOGIC PRIN
SATELIT (spațiu-Pământ)","METEOROLOGIC PRIN SATELIT
(spațiu-Pământ) MOBIL
Mobil prin satelit (spațiu-Pământ) 5.208A  5.208B  5.209
Exploatare spațială (spațiu- Pământ)
Cercetare spațială (spațiu-Pământ)
5.206
5.208
ECA6 ECA36",,,"Sisteme de comunicații personale prin satelit (sateliţi non- geostaționari)
ECA6
Aplicații mobile (Mobil Aeronautic (OR), inclusiv aviație sportivă)
Sisteme militare aeronautice Sisteme militare terestre ECA36
Sisteme prin satelit (militare)
Aplicatii prin satelit pentru meteorologie","ERC DEC (99)06
EN 301 721",,,,G(A)/NG,
,"EXPLOATARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,"CERCETARE SPAȚIALĂ
(spațiu-Pământ)",,,,,,,,,,
,Fix,,,,,,,,,,
,"Mobil prin satelit (spațiu-
Pământ) 5.208A  5.208B  5.209",,,,,,,,,,
,Mobil cu excepția mobil aeronautic (R),,,,,,,,,,
,"5.204  5.205  5.206  5.207
5.208",,,,,,,,,,
"138,0000 – 143,6000",MOBIL AERONAUTIC (OR),MOBIL AERONAUTIC (OR),,,"Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre ECA5
ECA36
SRD nespecifice (în banda 138,20-138,45 MHz)","ERC REC 70-03
EN 300 220",,,,G(A)/NG,
,5.210,MOBIL TERESTRU,,,,,,,,,
,5.211,Cercetare spațială,,,,,,,,,
,5.212,(spațiu-Pământ),,,,,,,,,
,5.214,5.211,,,,,,,,,
,,ECA5,,,,,,,,,
,,ECA36,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"143,6000 – 143,6500","MOBIL AERONAUTIC (OR)
CERCETARE SPAȚIALĂ
(spațiu-Pământ)
5.211","MOBIL AERONAUTIC (OR) MOBIL TERESTRU
CERCETARE SPAȚIALĂ (spațiu-
Pământ)",,,"Sisteme militare aeronautice ECA5
Aplicaţii mobile terestre",,,,,G(A)/NG,
,5.212,5.211,,,,,,,,,
,5.214,ECA5,,,,,,,,,
,,ECA36,,,,,,,,,
"143,6500 – 144,0000",MOBIL AERONAUTIC (OR),MOBIL AERONAUTIC (OR),,,Sisteme militare aeronautice,,,,,G(A)/NG,
,5.210,MOBIL TERESTRU,,,,,,,,,
,"5.211
5.212","5.211
ECA5",,,Aplicaţii mobile terestre,,,,,,
,5.214,ECA36,,,,,,,,,
"144,0000 – 146,0000","AMATOR
AMATOR PRIN SATELIT 5.216","AMATOR
AMATOR PRIN SATELIT",,,"Aplicaţii pentru amatori
Aplicaţii prin satelit pentru amatori",EN 301 783,,,,NG,
