"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
,,,,,LTE-eMTC; WiMAX; NB-IoT),modificată prin Directiva,,,,,
,,,,,,2009/114/CE,,,,,
,,,,,,Decizia 2009/766/CE,,,,,
,,,,,,modificată prin Decizia CE,,,,,
,,,,,,2011/251/UE,,,,,
,,,,,,Decizia UE/2018/637,,,,,
,,,,,,ECC/DEC/(06)13,,,,,
,,,,,,ECC/REC/(08)02,,,,,
,,,,,,EN 301 908,,,,,
,,,,,MCV,Decizia 2010/166/UE,,,,,
,,,,,,modificată prin Decizia,,,,,
,,,,,,2017/191/UE,,,,,
,,,,,,Rec. 2010/167/UE,,,,,
,,,,,,ECC/DEC/(08)08,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"942,0000 – 960,0000","RADIODIFUZIUNE 5.322 FIX
MOBIL cu exceptia mobil aeronautic 5.317A",MOBIL 5.317A ECA32,,,"GSM (banda 942-960 MHz pentru emisia stației de bază, pereche cu 897-915 MHz)
ECA 32",Directiva 87/372/CEE modificată prin Directiva 2009/114/CE ERC/DEC/(94)01 ERC/DEC/(97)02,,,,NG,
,,,,,,ECC/REC/(05)08,,,,,
,5.323,,,,,ECC/REC/(08)02 EN 301 502,,,,,
,,,,,,EN 301 511,,,,,
,,,,,,EN 301 908-18,,,,,
,,,,,,EN 303 609,,,,,
,,,,,IMT (UMTS; LTE; LTE-MTC;,Directiva 87/372/CEE,,,,,
,,,,,LTE-eMTC; WiMAX; NB-IoT),modificată prin Directiva,,,,,
,,,,,,2009/114/CE,,,,,
,,,,,,Decizia 2009/766/CE,,,,,
,,,,,,modificată prin Decizia CE,,,,,
,,,,,,2011/251/UE,,,,,
,,,,,,Decizia UE/2018/637,,,,,
,,,,,,ECC/DEC/(06)13,,,,,
,,,,,,ECC/REC/(08)02,,,,,
,,,,,,EN 301 908,,,,,
,,,,,MCV,Decizia CE 2010/166/UE,,,,,
,,,,,,modificată prin Decizia,,,,,
,,,,,,2017/191/UE,,,,,
,,,,,,Rec. 2010/167/UE,,,,,
,,,,,,ECC/DEC/(08)08,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"960,00 – 1164,00",MOBIL AERONAUTIC (R) 5.327A,MOBIL AERONAUTIC (R) 5.327A,,"Sisteme aeronautice (inclusiv DME
și SSR)",,,,,G(A)/NG,,
,"RADIONAVIGAŢIE
AERONAUTICĂ  5.328
5.328AA","RADIONAVIGAŢIE
AERONAUTICĂ  5.328
MOBIL AERONAUTIC PRIN SATELIT (R)",,"Sisteme militare aeronautice (inclusiv JTIDS/MIDS și TACAN în diferite subbenzi cuprinse între 108,7 - 1092,3 MHz)",,,,,,,
,,5.328AA,,,,,,,,,
,,ECA36,,,,,,,,,
"1164,00 – 1215,00","RADIONAVIGAŢIE
AERONAUTICĂ  5.328","RADIONAVIGAŢIE
AERONAUTICĂ  5.328",,"Sisteme aeronautice (inclusiv DME
și SSR)",,,,,G(A)/NG,,
,"RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B","RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B",,GALILEO (în banda 1164 – 1214 MHz),,,EN 303 413,,,,
,5.328A,5.328A,,"GLONASS (în banda 1190,3 –
1213,8 MHz)",,,EN 303 413,,,,
,,ECA36,,Repetoare GNSS (în banda 1164- 1300 MHz,,,ECC/REC/(10)02 EN 302 645,,,,
,,,,Sisteme militare aeronautice (inclusiv JTIDS/MIDS),,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
"1215,00 – 1240,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,Senzori activi (prin satelit),,,,,G(A)/NG,,
,"RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A","RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A",,"GLONASS (în banda 1237,8 –
1253,8 MHz)
Repetoare GNSS (în banda 1164- 1300 MHz",,,"EN 303 413
ECC/REC/(10)02 EN 302 645",,,,
,CERCETARE SPAŢIALĂ (activ),CERCETARE SPAŢIALĂ (activ),,"GPS (în banda 1215,6–1239,6 MHz)",,,EN 303 413,,,,
,5.331  5.332,"5.331  5.332
ECA36",,"Radiolocație (civil) – sisteme radar
și de navigație",,,,,,,
,,,,Radiolocație (militar),,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1240,00 – 1300,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",,Amator,,,EN 301 783,,G(A)/NG,,
,"RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A
CERCETARE SPAŢIALĂ (activ)","RADIOLOCAŢIE
RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.328B  5.329 5.329A
CERCETARE SPAŢIALĂ (activ)",,"Amator prim satelit (în banda 1260- 1270 MHz)
Senzori activi (prin satelit)
GALILEO (în banda 1260-1300 MHz)",,,EN 303 413,,,,
,"Amator
5.282  5.331  5.332  5.335A","Amator
Amator prin satelit",,"GLONASS (în banda 1237,8 –
1253,8 MHz)",,,EN 303 413,,,,
,,"5.282  5.331  5.332  5.335A
ECA36",,Repetoare GNSS (în banda 1164- 1300 MHz),,,ECC/REC/(10)02 EN 302 645,,,,
,,,,"Radiolocație (civil) – sisteme radar
și de navigație",,,,,,,
,,,,Radare pentru profile de vânt (în banda 1270-1295 MHz),,,,,,,
,,,,Radiolocație (militar),,,,,,,
,,,,Sisteme spațiale (militar),,,,,,,
"1300,00 – 1350,00","RADIONAVIGAŢIE
AERONAUTICĂ  5.337","RADIONAVIGAŢIE
AERONAUTICĂ  5.337",,"Radioastronomie – observaţii în domeniul continuu și în linii spectrale (de exemplu, linia neutră a hidrogenului); VLBI
Radiolocație (civil) – sisteme radar
și de navigație
Sisteme de navigaţie prin satelit Radiolocație (militar)
Sisteme spațiale (militar)",,,,,G(A)/NG,,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,,
,"RADIONAVIGAŢIE PRIN
SATELIT (Pământ–spaţiu)","RADIONAVIGAŢIE PRIN
SATELIT (Pământ–spaţiu)",,,,,,,,,
,5.149  5.337A,5.149  5.337A,,,,,,,,,
,,ECA36,,,,,,,,,
"1350,00 – 1362,50","FIX MOBIL
RADIOLOCAŢIE
5.149  5.338  5.338A 5.339","FIX MOBIL
RADIOLOCAŢIE
5.149  5.338  5.338A 5.339",,"Linii fixe de capacitate mică (în banda 1350 – 1375 MHz)
Radioastronomie – observaţii în domeniul continuu și în linii spectrale (de exemplu, linia neutră a
hidrogenului); VLBI",,,"T/R 13–01
EN 302 217",,NG,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1362,50 – 1400,00","FIX
MOBIL","FIX
MOBIL",,"Linii fixe de capacitate mică (în banda 1350 – 1375 MHz și 1375 –
1400 MHz)
Radioastronomie – observaţii în domeniul continuu și în linii spectrale (de exemplu, linia neutră a hidrogenului); VLBI
Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre
Radiolocație (militar)",,,"T/R 13–01
EN 302 217",,G(A)/NG,,
,RADIOLOCAŢIE,RADIOLOCAŢIE,,,,,,,,,
,5.149  5.338  5.338A  5.339,5.149  5.338  5.338A  5.339,,,,,,,,,
,,ECA36,,,,,,,,,
"1400,00 – 1427,00","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv) RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",,"Senzori pasivi (prin satelit) – pentru măsurarea umidităţii solului, a salinităţii, a temperaturii suprafeţei oceanului, a indicelui de vegetaţie",,,,,G(A)/NG,,
,5.340  5.341,5.340  5.341,,"Radioastronomie – observaţii în domeniul continuu și în linii spectrale (de exemplu, linia neutră a hidrogenului); VLBI",,,,,,,
,,,,Sisteme militare,,,,,,,
"1427,00 – 1429,00",FIX,FIX,,"Sisteme militare terestre Sisteme militare maritime
Linii fixe de capacitate mică (în
banda 1427 – 1452 MHz)
Sisteme terestre capabile să furnizeze servicii de comunicații electronice (rețele MFCN) (emisia stației de bază pentru legătura descendentă suplimentară - SDL) IMT
LTE NR",,,,,G(A)/NG,,
,"MOBIL cu excepţia mobil
aeronautic 5.341A
EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu)
5.338A  5.341","MOBIL cu excepţia mobil
aeronautic
EXPLOATARE SPAŢIALĂ
(Pământ–spaţiu)",,,,,"T/R 13–01
EN 302 217
Decizia (UE) 2018/661 ECC/DEC/(17)06",,,,
,,5.338A  5.341,,,,,,,,,
,,ECA36,,,,,,,,,
,,,,,,,EN 301 908,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1429,00 – 1452,00","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A
5.338A  5.341  5.342","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A
5.338A  5.341",,"Sisteme militare terestre Sisteme militare maritime
Linii fixe de capacitate mică (în
banda 1427 – 1452 MHz)",,,"T/R 13–01
EN 302 217",,G(A)/NG,,
,,ECA36,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (rețele MFCN) (emisia stației de bază pentru legătura descendentă suplimentară - SDL) IMT
LTE NR",,,"Decizia (UE) 2018/661 ECC/DEC/(17)06
EN 301 908",,,,
"1452,00 – 1492,00",FIX,MOBIL cu excepţia mobil,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (rețele MFCN) (emisia stației de bază pentru legătura descendentă suplimentară - SDL) IMT
LTE
NR",,,Decizia    (UE)    2015/750,,NG,,
,"MOBIL cu excepţia mobil
aeronautic RADIODIFUZIUNE
RADIODIFUZIUNE PRIN","aeronautic
5.341",,,,,modificată    prin    Decizia (UE) 2018/661 ECC/DEC/(13)03 ECC/REC/(15)01,,,,
,SATELIT  5.208B,,,,,,EN 301 908-1,,,,
,,,,,,,EN 301 908-13,,,,
,5.341  5.342  5.345,,,,,,"EN 301 901-14
EN 301 908-15",,,,
,,,,,,,EN 301 901-18,,,,
"1492,00 – 1504,50","FIX
MOBIL cu excepţia mobil
aeronautic  5.341A 5.341  5.342","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A 5.341",,"Linii fixe de capacitate mică (în banda 1492 – 1517 MHz)
Sisteme terestre capabile să furnizeze servicii de comunicații electronice (rețele MFCN) (emisia stației de bază pentru legătura descendentă suplimentară – SDL în banda 1492-1517 MHz)
IMT LTE NR",,,"T/R 13–01
EN 302 217
Decizia (UE) 2018/661 ECC/DEC/(17)06
EN 301 908",,NG,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1504,50 – 1518,00","FIX
MOBIL cu excepţia mobil
aeronautic  5.341A
5.341  5.342","FIX
MOBIL cu excepţia mobil
aeronautic 5.341A
5.341",,"Sisteme militare terestre Sisteme militare maritime
Linii fixe de capacitate mică (în banda 1492 – 1517 MHz)",,,"T/R 13–01
EN 302 217",,G(A)/NG,,
,,ECA36,,"Sisteme terestre capabile să furnizeze servicii de comunicații electronice (rețele MFCN) (emisia stației de bază pentru legătura descendentă suplimentară – SDL în banda 1492-1517 MHz)
IMT LTE NR",,,"Decizia (UE) 2018/661 ECC/DEC/(17)06
EN 301 908",,,,
,,,,Linii fixe unidirecționale (în banda 1517 – 1530 MHz),,,EN 302 217,,,,
"1518,00 – 1525,00","FIX
MOBIL cu excepţia mobil
aeronautic
MOBIL PRIN SATELIT (spaţiu – Pământ)  5.348  5.348A  5.348B 5.351A","FIX
MOBIL cu excepţia mobil
aeronautic
MOBIL PRIN SATELIT (spaţiu – Pământ)  5.348  5.348A  5.348B 5.351A",,"Stații de sol în serviciul mobil prin satelit
Componenta satelitară a IMT-2000",,,"ECC/DEC/(04)09 EN 301 444
EN 301 473
EN 301 681",,G(A)/NG,,
,,,,Linii fixe unidirecționale,,,EN 302 217,,,,
,5.341  5.342,"5.341
ECA36",,Sisteme militare maritime,,,,,,,
,,,,Sisteme militare terestre,,,,,,,
"1525,00 – 1530,00",FIX,FIX,,"Stații de sol în serviciul mobil prin satelit
Componenta satelitară a IMT-2000 Linii fixe unidirecționale",,,"EN 301 426
EN 301 444
EN 301 473
EN 301 681
EN 302 217",,NG,,
,MOBIL PRIN SATELIT (spaţiu– Pământ)  5.208B  5.351A,MOBIL PRIN SATELIT (spaţiu– Pământ)  5.208B  5.351A,,,,,,,,,
,"EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)","EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)",,,,,,,,,
,"Explorarea Pământului prin
satelit",,,,,,,,,,
,"Mobil cu excepţia mobil
aeronautic  5.349",5.341  5.351  5.354,,,,,,,,,
,5.341  5.342  5.351  5.354,,,,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1530,00 – 1535,00","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)
Explorarea Pământului prin
satelit Fix
Mobil cu excepţia mobil
aeronautic
5.341  5.342  5.351  5.354","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
EXPLOATARE SPAŢIALĂ
(spaţiu–Pământ)
Explorarea Pământului prin satelit
Fix
Mobil cu excepţia mobil
aeronautic
5.341  5.351  5.354",,"Stații de sol în serviciul mobil prin satelit – cu prioritate pentru comunicaţiile GMDSS de primejdie, urgenţă şi siguranţă a vieţii, precum și pentru categoriile de comunicații 1 la 6 din serviciul mobil aeronautic prin satelit (R)
Componenta satelitară a IMT-2000",,,"EN 301 426
EN 301 444
EN 301 473
EN 301 681",,NG,,
"1535,00 – 1550,00","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
5.341  5.351  5.354  5.356  5.357
5.357A","MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
5.341  5.351  5.354  5.356  5.357
5.357A",,"Stații de sol în serviciul mobil prin satelit – cu prioritate pentru comunicaţiile GMDSS de primejdie, urgenţă şi siguranţă a vieţii, precum și pentru categoriile de comunicații 1 la 6 din serviciul mobil aeronautic prin satelit (R) (în banda 1544-1545 MHz)",,,"EN 301 426
EN 301 444
EN 301 473
EN 301 681",,NG,,
,,,,Componenta satelitară a IMT-2000,,,,,,,
"1550,00 – 1559,00",MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A,"MOBIL PRIN SATELIT (spaţiu– Pământ) 5.208B  5.351A  5.353A
FIX  5.359",,Stații de sol în serviciul mobil prin satelit,,,"EN 301 426
EN 301 444
EN 301 473
EN 301 681",,G(A)/NG,,
,"5.341  5.351  5.354  5.356  5.357
5.357A  5.359","5.341  5.351  5.354  5.356  5.357
5.357A",,Componenta satelitară a IMT-2000,,,,,,,
,,,,Sisteme militare,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1559,00 – 1610,00",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,,"GALILEO (în banda 1559,42 –
1591,42 MHz)",,,EN 303 413,,G(A)/NG,,
,"RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.208B  5.328B 5.329A","RADIONAVIGAŢIE PRIN
SATELIT (spaţiu–Pământ) (spaţiu–spaţiu)  5.208B  5.328B 5.329A",,"GLONASS (în banda 1592,9 –
1610,5 MHz)
GPS (în banda 1563,42 – 1587,42 MHz)",,,"EN 303 413
EN 303 413",,,,
,5.341,5.341,,Pseudoliți GNSS,,,ECC/REC/(11)08,,,,
,,,,Repetoare GNSS,,,ECC/REC/(10)02 EN 302 645,,,,
,,,,Sisteme militare,,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1610,00 – 1610,60",RADIONAVIGAŢIE AERONAUTICĂ,RADIONAVIGAŢIE AERONAUTICĂ,,"GLONASS (în banda 1592,9 –
1610,5 MHz)",,,,,G(A)/NG,,
,"MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A FIX  5.359",,"Stații de sol în serviciul mobil prin
satelit",,,"ECC/DEC/(09)02 EN 301 441
EN 301 473",,,,
,"5.341  5.359  5.364  5.366  5.367
5.368  5.371  5.372","5.341  5.364  5.366  5.367  5.368
5.371  5.372",,"Componenta satelitară a IMT-2000
Sisteme militare",,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1610,60 – 1613,80","RADIONAVIGAŢIE
AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A","RADIONAVIGAŢIE AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A",,"Stații de sol în serviciul mobil prin satelit
Componenta satelitară a IMT-2000
Radioastronomie – observaţii linii spectrale (de exemplu, linia de hidroxil); VLBI
Sisteme militare
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(09)02 EN 301 441
EN 301 473",,G(A)/NG,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,,
,,FIX  5.359,,,,,,,,,
,"5.149  5.341  5.359  5.364  5.366
5.367  5.368  5.371  5.372","5.149  5.341  5.364  5.366  5.367
5.368  5.371  5.372",,,,,,,,,
,,,,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1613,80 – 1626,50","RADIONAVIGAŢIE AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A
Mobil prin satelit (spaţiu– Pământ)  5.208B","RADIONAVIGAŢIE AERONAUTICĂ
MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A
Mobil prin satelit (spaţiu–Pământ)
5.208B
FIX  5.359",,"Stații de sol în serviciul mobil prin satelit
Componenta satelitară a IMT-2000",,,"ECC/DEC/(09)02 ECC/DEC/(09)04 EN 301 426
EN 301 441
EN 301 473",,G(A)/NG,,
,,,,Sisteme militare,,,,,,,
,"5.341  5.359  5.364  5.365  5.366
5.367  5.368  5.371  5.372","5.341 5.364  5.365  5.366  5.367
5.368  5.371  5.372",,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1626,50 – 1660,00","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.353A
5.341  5.351  5.354  5.357A
5.359  5.374  5.375  5.376","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.353A FIX  5.359
5.341  5.351  5.354  5.357A
5.374  5.375  5.376",,"Stații de sol în serviciul mobil prin satelit – cu prioritate pentru comunicaţiile GMDSS de primejdie, urgenţă şi siguranţă a vieţii, precum și pentru categoriile de comunicații 1 la 6 din serviciul mobil aeronautic prin satelit (R) (în banda 1645,5- 1646,5 MHz)",,,"EN 301 426
EN 301 473
EN 301 681",,G(A)/NG,,
,,,,Componenta satelitară a IMT-2000,,,,,,,
,,,,"Sisteme de audiţie asistată (în
banda 1656,5-1660,5 MHz)",,,"ERC/REC 70-03
EN 300 422",,,,
,,,,Sisteme militare,,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1660,00 – 1660,50","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A RADIOASTRONOMIE","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A RADIOASTRONOMIE",,Stații de sol în serviciul mobil prin satelit,,,"EN 301 426
EN 301 444
EN 301 473
EN 301 681",,NG,,
,"5.149  5.341  5.351  5.354
5.376A","5.149  5.341  5.351  5.354
5.376A",,"Radioastronomie – observații în domeniul continuu și în linii spectrale (de exemplu, linia de hidroxil); VLBI",,,,,,,
,,,,Componenta satelitară a IMT-2000,,,,,,,
,,,,"Sisteme de audiţie asistată (în
banda 1656,5-1660,5 MHz)",,,"ERC/REC 70-03
EN 300 422",,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1660,50 – 1668,00",RADIOASTRONOMIE,RADIOASTRONOMIE,,"Radioastronomie – observații în domeniul continuu și în linii spectrale (de exemplu, linia de hidroxil); VLBI
Sisteme militare
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,Fix,Fix,,,,,,,,,
,"Mobil cu excepţia mobil
aeronautic","Mobil cu excepţia mobil
aeronautic",,,,,,,,,
,5.149  5.341  5.379A,5.149  5.341  5.379A,,,,,,,,,
"1668,00 – 1668,40",MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,,"Radioastronomie – observații în domeniul continuu și în linii spectrale (de exemplu, linia de hidroxil); VLBI
Componenta satelitară a IMT-2000 Sisteme militare
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,G(A)/NG,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,,,,,
,CERCETARE SPAŢIALĂ (pasiv),CERCETARE SPAŢIALĂ (pasiv),,,,,,,,,
,Fix,Fix,,,,,EN 301 473,,,,
,"Mobil cu excepţia mobil
aeronautic","Mobil cu excepţia mobil
aeronautic",,,,,,,,,
,5.149  5.341  5.379A,5.149  5.341  5.379A,,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1668,40 – 1670,00",FIX,FIX,,"Sisteme pentru meteorologie
Radioastronomie – observații în domeniul continuu și în linii spectrale (de exemplu, linia de hidroxil); VLBI
Componenta satelitară a IMT-2000 Sisteme militare
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,EN 302 454,,G(A)/NG,,
,AUXILIAR METEOROLOGIC,AUXILIAR METEOROLOGIC,,,,,,,,,
,MOBIL cu excepţia mobil aeronautic,"MOBIL cu excepţia mobil
aeronautic",,,,,,,,,
,MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,MOBIL PRIN SATELIT (Pământ– spaţiu)  5.351A  5.379B  5.379C,,,,,,,,,
,RADIOASTRONOMIE,RADIOASTRONOMIE,,,,,EN 301 473,,,,
,5.149  5.341  5.379D  5.379E,5.149  5.341  5.379D  5.379E,,,,,,,,,
,,,,,,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
"1670,00 – 1675,00",FIX,FIX,,Sisteme pentru meteorologie,,,"EN 302 454
ECC/DEC/(04)09 EN 301 444
EN 301 473
EN 301 681
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,NG,,
,"AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)","AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",,Stații de sol în serviciul mobil prin satelit,,,,,,,
,MOBIL,MOBIL,,,,,,,,,
,"MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.379B","MOBIL PRIN SATELIT (Pământ–
spaţiu)  5.351A  5.379B",,Componenta satelitară a IMT-2000,,,,,,,
,5.341  5.379D  5.379E  5.380A,5.341  5.379D  5.379E  5.380A,,Sateliți meteorologici,,,,,,,
,,,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,,,,,
"1675,00 – 1690,00",FIX,FIX,,Sonde (radiosonde meteorologice),,,EN 302 454,,G(A)/NG,,
,"AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)","AUXILIAR METEOROLOGIC
METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",,Sateliți meteorologici – platforme pentru colectarea datelor,,,,,,,
,"MOBIL cu excepţia mobil
aeronautic","MOBIL cu excepţia mobil
aeronautic",,Auxiliar meteorologic (militar),,,,,,,
,,,,Sisteme militare terestre,,,,,,,
,5.341,5.341,,Sisteme militare maritime,,,,,,,
,,ECA36,,"Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,,
"1690,00 – 1700,00",AUXILIAR METEOROLOGIC,AUXILIAR METEOROLOGIC,,"Sateliți meteorologici – platforme pentru colectarea datelor)
Auxiliar meteorologic (militar) Sisteme militare terestre Sisteme militare maritime
Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz)
(Nota 8)",,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,,
,"METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)","METEOROLOGIC PRIN
SATELIT (spaţiu–Pământ)",,,,,,,,,
,Fix,FIX,,,,,,,,,
,"Mobil cu excepţia mobil
aeronautic","MOBIL cu excepţia mobil
aeronautic",,,,,,,,,
,5.289  5.341  5.382,5.289  5.341  5.382,,,,,,,,,
,,ECA36,,,,,,,,,
,,,,,,,,,,,
,,,,Aplicaţii posibile,,,Reglementări aplicabile/ Documente de referință,,,,
